Data Medicao;TEMPERATURA MEDIA DIARIA
2023-09-18;20
2023-09-19;19
2023-09-20;17
2023-09-21;20
2023-09-22;21
2023-09-23;20
2023-09-24;22
2023-09-25;20
2023-09-26;22
2023-09-27;25
2023-09-28;16
2023-09-29;14
2023-09-30;16
2023-10-01;17
2023-10-02;16
2023-10-03;17
2023-10-04;21
2023-10-05;23
2023-10-06;22
2023-10-07;25
2023-10-08;22
2023-10-09;21
2023-10-10;17
2023-10-11;19
2023-10-12;22
2023-10-13;18
2023-10-14;16
2023-10-15;18
2023-10-16;21
2023-10-17;21
2023-10-18;18
2023-10-19;15
2023-10-20;15
2023-10-21;15
2023-10-22;16
2023-10-23;18
2023-10-24;22
2023-10-25;18
2023-10-26;18
2023-10-27;18
2023-10-28;21
2023-10-29;23
2023-10-30;22
2023-10-31;22
2023-11-01;18
2023-11-02;17
2023-11-03;21
2023-11-04;18
2023-11-05;15
2023-11-06;14
2023-11-07;15
2023-11-08;17
2023-11-09;20
2023-11-10;20
2023-11-11;22
2023-11-12;24
2023-11-13;24
2023-11-14;25
2023-11-15;23
2023-11-16;25
2023-11-17;24
2023-11-18;27
2023-11-19;20
2023-11-20;19
2023-11-21;21
2023-11-22;25
2023-11-23;23
2023-11-24;18
2023-11-25;15
2023-11-26;16
2023-11-27;19
2023-11-28;21
2023-11-29;20
2023-11-30;22
2023-12-01;20
2023-12-02;22
2023-12-03;23
2023-12-04;23
2023-12-05;21
2023-12-06;23
2023-12-07;24
2023-12-08;21
2023-12-09;18
2023-12-10;16
2023-12-11;18
2023-12-12;17
2023-12-13;17
2023-12-14;21
2023-12-15;22
2023-12-16;22
2023-12-17;22
2023-12-18;20
2023-12-19;19
2023-12-20;18
2023-12-21;20
2023-12-22;22
2023-12-23;22
2023-12-24;22
2023-12-25;22
2023-12-26;21
2023-12-27;17
2023-12-28;19
2023-12-29;22
2023-12-30;20
2023-12-31;16
